base,reconciliation,pattern,series,rmsse,rmsse_se
croston_sba,base,erratic,860,0.7710654227579257,0.0156931542234037
croston_sba,base,intermittent,22155,0.9391904345303478,0.003198624406258791
croston_sba,base,lumpy,5572,0.8208910686443589,0.006606108448737815
croston_sba,base,smooth,1903,0.8896921535995072,0.009321246640157772
croston_sba,bottom_up,erratic,860,0.7710654227579257,0.0156931542234037
croston_sba,bottom_up,intermittent,22155,0.9391904345303478,0.003198624406258791
croston_sba,bottom_up,lumpy,5572,0.8208910686443589,0.006606108448737815
croston_sba,bottom_up,smooth,1903,0.8896921535995072,0.009321246640157772
croston_sba,middle_out,erratic,860,0.8986919973273588,0.017541560449807227
croston_sba,middle_out,intermittent,22155,0.9773602398088542,0.0036053774098595984
croston_sba,middle_out,lumpy,5572,0.8722969451183875,0.00744924787502535
croston_sba,middle_out,smooth,1903,1.0171450943079188,0.011995726805885447
croston_sba,ols,erratic,860,0.7710803799367137,0.015691512520149293
croston_sba,ols,intermittent,22155,0.9393121459535938,0.003188904543591024
croston_sba,ols,lumpy,5572,0.8214668636475841,0.006599580652263383
croston_sba,ols,smooth,1903,0.8896582828276444,0.009321801666829686
croston_sba,top_down,erratic,860,0.9079816969456296,0.01756563785571614
croston_sba,top_down,intermittent,22155,0.9784334233702193,0.0036263696552319715
croston_sba,top_down,lumpy,5572,0.8743252060579716,0.00751528625765754
croston_sba,top_down,smooth,1903,1.030397337279951,0.012025747875225092
croston_sba,wls_struct,erratic,860,0.7710678772942093,0.015692494515233208
croston_sba,wls_struct,intermittent,22155,0.9390886721873766,0.0031911190609898413
croston_sba,wls_struct,lumpy,5572,0.8211316747079703,0.0066015053200222645
croston_sba,wls_struct,smooth,1903,0.8896635382008977,0.00932124888787079
croston_sba,wls_var,erratic,860,0.7710535135245621,0.015689362309210052
croston_sba,wls_var,intermittent,22155,0.9392375512708593,0.0031976489066904987
croston_sba,wls_var,lumpy,5572,0.8211892088989198,0.006606131402936315
croston_sba,wls_var,smooth,1903,0.8897182081937787,0.009321355425628817
gbm,base,erratic,860,0.7679807458541821,0.016011924691548846
gbm,base,intermittent,22155,0.9842033138180819,0.003043512953112426
gbm,base,lumpy,5572,0.828623216766939,0.006580746394487933
gbm,base,smooth,1903,0.8992995605557831,0.009556437468066345
gbm,bottom_up,erratic,860,0.7679807458541821,0.016011924691548846
gbm,bottom_up,intermittent,22155,0.9842033138180819,0.003043512953112426
gbm,bottom_up,lumpy,5572,0.828623216766939,0.006580746394487933
gbm,bottom_up,smooth,1903,0.8992995605557831,0.009556437468066345
gbm,middle_out,erratic,860,0.8953303465114636,0.01815286209718883
gbm,middle_out,intermittent,22155,0.9810749585628518,0.003597975408934828
gbm,middle_out,lumpy,5572,0.8760743364467359,0.007475485480714832
gbm,middle_out,smooth,1903,1.0245705031048282,0.012466172547280512
gbm,ols,erratic,860,0.7729796253883218,0.01604461149308558
gbm,ols,intermittent,22155,1.0777028102235704,0.0040003348157852505
gbm,ols,lumpy,5572,0.8747368292264757,0.006976309803774142
gbm,ols,smooth,1903,0.9099163090893994,0.009608405065157592
gbm,top_down,erratic,860,0.8748592318102085,0.018554908576568028
